"Drugs","MOA","Target","Phase","pert_id","moa_brd","moa_final","moa_manual"
"4-demethoxydaunorubicin hydrochloride (65)",NA,NA,NA,NA,NA,NA,NA
"4-fluoro-n-pyridin-3-yl-benzamide",NA,NA,NA,NA,NA,NA,NA
"5-azacytidine",NA,NA,NA,NA,NA,NA,NA
"5-fluorouracil","thymidylate synthase inhibitor","DPYD, TYMS","Launched",NA,NA,"thymidylate synthase inhibitor",NA
"5-nonyloxytryptamine",NA,NA,NA,"BRD-K08219523","Unknown","Unknown",NA
"6-azauridine",NA,NA,NA,NA,NA,NA,NA
"6-diazo-5-oxo-l-norleucine","glutamate receptor antagonist, glutaminase inhibitor","","Preclinical",NA,NA,"glutamate receptor antagonist, glutaminase inhibitor",NA
"7-nitroindazole","nitric oxide synthase inhibitor","NOS1, NOS2, NOS3","Preclinical","BRD-K04430056","nitric oxide synthase inhibitor","nitric oxide synthase inhibitor",NA
"799264-48-5 mls-0425609",NA,NA,NA,NA,NA,NA,NA
"7b-cis",NA,NA,NA,"BRD-K61829047","Unknown","Unknown",NA
"8-{[2-oxo-2-(1-pyrrolidinyl)ethyl]thio}quinoline",NA,NA,NA,NA,NA,NA,NA
"8-cpt-2-me-camp",NA,NA,NA,NA,NA,NA,NA
"9-amino-1,2,3,4-tetrahydroacridine",NA,NA,NA,NA,NA,NA,NA
"939792-14-0",NA,NA,NA,NA,NA,NA,NA
"a-1065",NA,NA,NA,NA,NA,"Unknown","Unknown"
"a-275",NA,NA,NA,NA,NA,NA,NA
"a-769662","AMPK activator","","Preclinical",NA,NA,"AMPK activator",NA
"a112550.cdx",NA,NA,NA,NA,NA,NA,NA
"a2478",NA,NA,NA,NA,NA,NA,NA
"a3145",NA,NA,NA,NA,NA,NA,NA
"a443654",NA,NA,NA,NA,NA,"Akt inhibitor","Akt inhibitor"
"a66","PI3K inhibitor","PIK3CA","Preclinical",NA,NA,"PI3K inhibitor",NA
"abt-263",NA,NA,NA,NA,NA,NA,NA
"abt-737","BCL inhibitor","BCL2, BCL2L1, BCL2L2","Phase 1/Phase 2","BRD-K56301217","BCL inhibitor","BCL inhibitor",NA
"abt-751","tubulin polymerization inhibitor","TUBB","Phase 2","BRD-K91623615","tubulin polymerization inhibitor","tubulin polymerization inhibitor",NA
"abt-888 (veliparib)",NA,NA,NA,NA,NA,NA,NA
"ac-1133",NA,NA,NA,NA,NA,NA,NA
"acamprosate calcium","glutamate receptor antagonist","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5","Launched","BRD-M41783010","glutamate receptor antagonist","glutamate receptor antagonist",NA
"acebutolol hydrochloride","adrenergic receptor antagonist","ADRB1","Launched","BRD-A29260609","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"aceclidine hydrochloride","acetylcholine receptor agonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5","Launched","BRD-A80567352","acetylcholine receptor agonist","acetylcholine receptor agonist",NA
"acetopromazine maleate salt",NA,NA,NA,NA,NA,NA,NA
"acetylcysteine","mucolytic agent","ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11","Launched","BRD-K59058747","mucolytic agent","mucolytic agent",NA
"acitretin","retinoid receptor agonist","RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3","Launched","BRD-K62012036","retinoid receptor agonist","retinoid receptor agonist",NA
"actarit","interleukin receptor agonist","","Launched","BRD-K33483813","interleukin receptor agonist","interleukin receptor agonist",NA
"acyclovir","DNA polymerase inhibitor","PNP","Launched","BRD-K32318651","DNA polymerase inhibitor","DNA polymerase inhibitor",NA
"adenosine 5'-monophosphate monohydrate",NA,NA,NA,NA,NA,NA,NA
"afatinib","EGFR inhibitor","EGFR, ERBB2, ERBB4","Launched","BRD-A58767537",NA,"EGFR inhibitor","EGFR inhibitor"
"ag-014699 (pf-01367338)",NA,NA,NA,NA,NA,NA,NA
"ag-1296",NA,NA,NA,NA,NA,NA,NA
"ag-490","EGFR inhibitor, JAK inhibitor","EGFR, JAK2, JAK3","Preclinical","BRD-K47105409",NA,"EGFR inhibitor, JAK inhibitor",NA
"ag-494",NA,NA,NA,"BRD-K81209512","Unknown","Unknown",NA
"ag-555","tyrosine kinase inhibitor","CDK2","Preclinical",NA,NA,"tyrosine kinase inhibitor",NA
"ag-556","tyrosine kinase inhibitor","","Preclinical",NA,NA,"tyrosine kinase inhibitor","EGFR inhibitor"
"ag-592",NA,NA,NA,"BRD-K89930444","Unknown","Unknown","Unknown"
"ag-879",NA,NA,NA,"BRD-K59469039","tyrosine kinase inhibitor","tyrosine kinase inhibitor",NA
"ag-957",NA,NA,NA,"BRD-K36737713","Unknown","Bcr-Abl inhibitor","Bcr-Abl inhibitor"
"ag 18",NA,NA,NA,NA,NA,NA,NA
"ag 527",NA,NA,NA,NA,NA,NA,NA
"ag 538",NA,NA,NA,NA,NA,NA,NA
"ag 82",NA,NA,NA,NA,NA,NA,NA
"ag 825",NA,NA,NA,NA,NA,"HER2 inhibitor","HER2 inhibitor"
"ag 9",NA,NA,NA,NA,NA,NA,NA
"ag14361",NA,NA,NA,NA,NA,NA,NA
"agk-2",NA,NA,NA,"BRD-K32536677","Unknown","Unknown",NA
"aicar",NA,NA,NA,NA,NA,NA,NA
"akt-inhibitor-1-2",NA,NA,NA,"BRD-K04887706","Unknown","AKT inhibitor","AKT inhibitor"
"akt-inhibitor-iv",NA,NA,NA,"BRD-K28296557","Unknown","Unknown",NA
"akti-1/2",NA,NA,NA,NA,NA,"AKT inhibitor","AKT inhibitor"
"ala-ala-phe-cmk",NA,NA,NA,"BRD-K93080877","Unknown","Unknown",NA
"alaproclate","serotonin receptor antagonist","SLC6A4","Phase 2","BRD-A14966924","serotonin receptor antagonist","serotonin receptor antagonist",NA
"albendazole","tubulin polymerization inhibitor","TUBA1A, TUBB, TUBB4B","Launched","BRD-K79131256","tubulin polymerization inhibitor","tubulin polymerization inhibitor",NA
"alclometazone dipropionate",NA,NA,NA,NA,NA,NA,NA
"alectinib","ALK tyrosine kinase receptor inhibitor","ALK, MET","Launched",NA,NA,"ALK tyrosine kinase receptor inhibitor","ALK inhibitor"
"alfacalcidol","vitamin D receptor agonist","CYP27B1, VDR","Launched","BRD-K93433262","vitamin D receptor agonist","vitamin D receptor agonist",NA
"alfadolone-acetate","benzodiazepine receptor agonist","","Phase 2",NA,NA,"benzodiazepine receptor agonist",NA
"alfaxalone",NA,NA,NA,"BRD-K37439386",NA,NA,NA
"alfuzosin hydrochloride","adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Launched","BRD-A09056319","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"aliskiren-hemifumarate","renin inhibitor","REN","Launched",NA,NA,"renin inhibitor",NA
"aloisine",NA,NA,NA,"BRD-K93658967",NA,NA,NA
"aloisine a",NA,NA,NA,"BRD-K51276371","Unknown","Unknown",NA
"alosetron hcl","serotonin receptor antagonist","HTR3A","Withdrawn","BRD-K46742498","serotonin receptor antagonist","serotonin receptor antagonist",NA
"alpelisib","PI3K inhibitor","PIK3CA, PIK3CB, PIK3CD, PIK3CG","Launched","BRD-K54997624",NA,"PI3K inhibitor","PI3K inhibitor"
"alprazolam",NA,NA,NA,"BRD-K32398298","Unknown","Unknown",NA
"alprenolol hydrochloride","adrenergic receptor antagonist","ADRB1, ADRB2","Launched","BRD-A00993607","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"alprostadil","prostanoid receptor agonist","CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGER1, PTGER2, PTGER4, PTGIR","Launched",NA,NA,"prostanoid receptor agonist",NA
"altanserin hydrochloride","serotonin receptor antagonist","HTR2A","Phase 2","BRD-K00610438","serotonin receptor antagonist","serotonin receptor antagonist",NA
"altrenogest","progestogen hormone","PGR","Launched","BRD-A27554692","progestogen hormone","progestogen hormone",NA
"altretamine","DNA synthesis inhibitor","","Launched","BRD-K67043667","DNA synthesis inhibitor","DNA synthesis inhibitor",NA
"alvocidib","CDK inhibitor","CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM","Phase 2","BRD-K87909389","CDK inhibitor","CDK inhibitor",NA
"alw-ii-38-3",NA,NA,NA,"BRD-K68191783","Unknown","ephrin receptor inhibitor","ephrin receptor inhibitor"
"alw-ii-49-7",NA,NA,NA,"BRD-K22096725","Unknown","Unknown",NA
"am-251","cannabinoid receptor antagonist","CNR1, GPR18, GPR55","Preclinical","BRD-K92000912","cannabinoid receptor antagonist","cannabinoid receptor antagonist",NA
"am-281","cannabinoid receptor antagonist","CNR1, CNR2, GPR55","Preclinical","BRD-K59419204","cannabinoid receptor antagonist","cannabinoid receptor antagonist",NA
"am-404","cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist","CNR1, CNR2, FAAH, TRPV1","Preclinical","BRD-K55462201",NA,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist",NA
"am-580","retinoid receptor agonist","RARA","Preclinical","BRD-K06854232","retinoid receptor agonist","retinoid receptor agonist",NA
"ambroxol hydrochloride","sodium channel blocker","CYP3A4","Launched","BRD-K56558538","sodium channel blocker","sodium channel blocker",NA
"amcinonide","glucocorticoid receptor agonist","NR3C1","Launched","BRD-K45149020",NA,"glucocorticoid receptor agonist",NA
"amethopterin (r,s)",NA,NA,NA,NA,NA,NA,NA
"amg-9810","TRPV antagonist","TRPV1","Preclinical","BRD-K43068349","TRPV antagonist","TRPV antagonist",NA
"ami-193",NA,NA,NA,NA,NA,NA,NA
"amiloride hydrochloride dihydrate","sodium channel blocker","AOC1, ASIC1, ASIC2, ASIC3, PKD2, PKD2L1, PLAU, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC9A1, TRPC7, TRPV2","Launched","BRD-K97181089","sodium channel blocker","sodium channel blocker",NA
"aminocaproic-acid","plasminogen activator inhibitor","LPA, PLAT, PLG","Launched","BRD-K64931368","plasminogen activator inhibitor","plasminogen activator inhibitor",NA
"aminogenistein",NA,NA,NA,"BRD-K04976539","Unknown","Unknown",NA
"aminoglutethimide","glucocorticoid receptor antagonist","CYP11A1, CYP19A1","Launched","BRD-A25234499","glucocorticoid receptor antagonist","glucocorticoid receptor antagonist",NA
"aminolevulinic-acid",NA,NA,NA,"BRD-K57631554","oxidizing agent","oxidizing agent",NA
"aminopentamide","acetylcholine receptor antagonist","CHRM1","Launched","BRD-A69917777","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"aminopurine, 6-benzyl",NA,NA,NA,NA,NA,NA,NA
"aminopurvalanol-a","CDK inhibitor, tyrosine kinase inhibitor","CDK1, CDK2, CDK5","Preclinical","BRD-K07762753","CDK inhibitor, tyrosine kinase inhibitor","CDK inhibitor, tyrosine kinase inhibitor",NA
"amiodarone hydrochloride","potassium channel blocker","ADRB1, CACNA1H, CACNA2D2, KCNA7, KCNH2","Launched","BRD-K17561142","potassium channel blocker","potassium channel blocker","potassium channel blocker"
"amitriptyline hydrochloride","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR6, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1, SLC6A2, SLC6A4","Launched","BRD-K53737926","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)",NA
"amlodipine base","calcium channel blocker","CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1","Launched","BRD-A22032524",NA,"calcium channel blocker",NA
"amlodipine besylate","calcium channel blocker","CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1","Launched","BRD-A22032524",NA,"calcium channel blocker","calcium channel blocker"
"amodiaquin dihydrochloride dihydrate",NA,NA,NA,NA,NA,NA,NA
"amoxapine","norepinephrine reputake inhibitor","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, SLC6A2, SLC6A3, SLC6A4","Launched","BRD-K02265150","norepinephrine reputake inhibitor","norepinephrine reputake inhibitor",NA
"amoxicillin crystalline","penicillin binding protein inhibitor","CYP2C19, SLC15A1, SLC15A2, SLC22A6","Launched","BRD-K55044200","penicillin binding protein inhibitor","penicillin binding protein inhibitor",NA
"amperozide","dopamine receptor antagonist","FAAH, HTR2A","Launched","BRD-K52397688","dopamine receptor antagonist","dopamine receptor antagonist",NA
"amsacrine","topoisomerase inhibitor","KCNH2, TOP2A","Launched","BRD-K98490050","topoisomerase inhibitor","topoisomerase inhibitor",NA
"amt hydrochloride",NA,NA,NA,NA,NA,NA,NA
"amuvatinib","FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAD51 inhibitor, RET tyrosine kinase inhibitor","KIT, MET","Phase 2","BRD-K66538826","FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAD51 inhibitor, RET tyrosine kinase inhibitor","FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAD51 inhibitor, RET tyrosine kinase inhibitor",NA
"amyleine hydrochloride","local anesthetic","","Preclinical",NA,NA,"local anesthetic",NA
"anafranil",NA,NA,NA,NA,NA,NA,NA
"anagrelide hydrochloride","phosphodiesterase inhibitor","PDE3A","Launched","BRD-K62200014","phosphodiesterase inhibitor","phosphodiesterase inhibitor",NA
"androsta-1,4-dien-3,17-dione",NA,NA,NA,"BRD-A95513702","Unknown","Unknown",NA
"angiogenesis-inhibitor",NA,NA,NA,"BRD-K08502430","Unknown","Unknown",NA
"anisomycin","DNA synthesis inhibitor","NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1","Preclinical","BRD-K91370081",NA,"DNA synthesis inhibitor",NA
"anpirtoline hydrochloride","serotonin receptor agonist","HTR1B","Phase 1","BRD-K55424922","serotonin receptor agonist","serotonin receptor agonist",NA
"antimycin-a","ATP synthase inhibitor","CYCS","Preclinical","BRD-K56001384",NA,"ATP synthase inhibitor","ATP synthase inhibitor"
"antimycin a",NA,NA,NA,NA,NA,NA,NA
"api-2",NA,NA,NA,NA,NA,"AKT inhibitor","AKT inhibitor"
"apigenin triacetate","casein kinase inhibitor, cell proliferation inhibitor","AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1B1, HSD17B1","Preclinical","BRD-K12057390",NA,"casein kinase inhibitor, cell proliferation inhibitor","casein kinase inhibitor, cell proliferation inhibitor"
"apo866",NA,NA,NA,NA,NA,NA,NA
"apoptosis activator 2",NA,NA,NA,NA,NA,NA,NA
"aq-ra 741",NA,NA,NA,NA,NA,NA,NA
"arachidonamide",NA,NA,NA,"BRD-K29555132","Unknown","Unknown",NA
"arachidonyl trifluoro-methyl ketone",NA,NA,NA,NA,NA,NA,NA
"arctigenin","MEK inhibitor","CHUK, MAP2K1","Preclinical","BRD-K53523901","MEK inhibitor","MEK inhibitor",NA
"arcyriaflavin-a","CDK inhibitor","CCND1, CDK4","Preclinical","BRD-K72726508","CDK inhibitor","CDK inhibitor",NA
"arecaidine propargyl ester tosylate",NA,NA,NA,"BRD-K23922020",NA,NA,NA
"arg-a1-2 brd-k39580048",NA,NA,NA,"BRD-K39580048","Unknown","Unknown",NA
"arg-a1-22 brd-k91349888",NA,NA,NA,"BRD-K91349888","Unknown","Unknown",NA
"arg-csc-91",NA,NA,NA,"BRD-K69181860","Unknown","Unknown",NA
"aripiprazole","serotonin receptor agonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7","Launched","BRD-K70358946","serotonin receptor agonist, serotonin receptor antagonist","serotonin receptor agonist, serotonin receptor antagonist",NA
"aristolochic-acid",NA,NA,NA,"BRD-K17110974","Unknown","Unknown",NA
"arp 101",NA,NA,NA,NA,NA,NA,NA
"artesunate","DNA synthesis inhibitor","","Launched","BRD-A47829399","DNA synthesis inhibitor","DNA synthesis inhibitor",NA
"articaine hydrochloride","local anesthetic","","Launched","BRD-A70514680","local anesthetic","local anesthetic",NA
"arvanil",NA,NA,NA,"BRD-K34092021","Unknown","Unknown",NA
"as-601245",NA,NA,NA,"BRD-A60245366","Unknown","Unknown",NA
"as-605240",NA,NA,NA,"BRD-K76773351","Unknown","Unknown",NA
"as-703026","MEK inhibitor","MAP2K1, MAP2K2","Phase 2","BRD-K89014967",NA,"MEK inhibitor",NA
"as605240",NA,NA,NA,NA,NA,"PI3K inhibitor","PI3K inhibitor"
"ast1306",NA,NA,NA,NA,NA,"EGFR inhibitor","EGFR inhibitor"
"at-7519","CDK inhibitor","CDK1, CDK2, CDK4, CDK5, CDK6, CDK9","Phase 2","BRD-K13390322","CDK inhibitor","CDK inhibitor",NA
"at-csc-07 brd-k33720404",NA,NA,NA,"BRD-K24564544","Unknown","Unknown",NA
"at-csc-18 brd-k01121114",NA,NA,NA,"BRD-K83778500","Unknown","Unknown",NA
"at-mlpcn csc-006",NA,NA,NA,NA,NA,NA,NA
"at7867","AKT inhibitor","AKT2, GSK3B, PKIA, PRKACA","Preclinical","BRD-K12040459","AKT inhibitor","AKT inhibitor",NA
"atorvastatin","HMGCR inhibitor","AHR, DPP4, HMGCR","Launched","BRD-A82307304","HMGCR inhibitor","HMGCR inhibitor",NA
"atpa","glutamate receptor agonist","GRIK1","Preclinical","BRD-A65145453","glutamate receptor agonist","glutamate receptor agonist",NA
"auranofin","NFkB pathway inhibitor","IKBKB, PRDX5, TRPA1","Launched","BRD-A79465854","NFkB pathway inhibitor","NFkB pathway inhibitor",NA
"auraptene",NA,NA,NA,"BRD-K85013741","Unknown","Unknown",NA
"austricine",NA,NA,NA,"BRD-K78838262","Unknown","Unknown",NA
"austricine hydrate",NA,NA,NA,"BRD-K64236792","Unknown","Unknown",NA
"avermectin b1a",NA,NA,NA,"BRD-A23689620","Unknown","Unknown",NA
"axon1408",NA,NA,NA,NA,NA,NA,NA
"ay-9944","hedgehog pathway modulator","","Preclinical","BRD-K03642198","hedgehog pathway modulator","hedgehog pathway modulator",NA
"az-10417808","caspase inhibitor","CASP3","Preclinical","BRD-K36258877","caspase inhibitor","caspase inhibitor",NA
"az-628","RAF inhibitor","BRAF, RAF1","Preclinical","BRD-K05804044","RAF inhibitor","RAF inhibitor",NA
"AZ-628",NA,NA,NA,NA,NA,"RAF inhibitor","RAF inhibitor"
"az20","ATR kinase inhibitor","ATR, MTOR","Preclinical",NA,NA,"ATR kinase inhibitor",NA
"azacitidine","DNA methyltransferase inhibitor","DNMT1, DNMT3A","Launched","BRD-K03406345","DNA methyltransferase inhibitor","DNA methyltransferase inhibitor",NA
"azacyclonol","histamine receptor antagonist","HRH1","Preclinical","BRD-K97061094","histamine receptor antagonist","histamine receptor antagonist",NA
"azacytidine-5",NA,NA,NA,NA,NA,NA,NA
"azaperone","dopamine receptor antagonist","DRD2, DRD3","Launched","BRD-K45861246","dopamine receptor antagonist","dopamine receptor antagonist",NA
"azasetron","serotonin receptor antagonist","HTR3A, HTR3B","Launched","BRD-A44133049","serotonin receptor antagonist","serotonin receptor antagonist",NA
"azathioprine","dehydrogenase inhibitor","HPRT1, IMPDH1, PPAT","Launched","BRD-K32821942","dehydrogenase inhibitor","dehydrogenase inhibitor",NA
"azd-1480",NA,NA,NA,"BRD-A29009894","Unknown","JAK inhibitor","JAK inhibitor"
"azd-5438",NA,NA,NA,"BRD-K72414522","CDK inhibitor","CDK inhibitor",NA
"azd-6482",NA,NA,NA,"BRD-K58772419","PI3K inhibitor","PI3K inhibitor",NA
"azd-7545-a",NA,NA,NA,NA,NA,"PDHK inhibitor","PDHK inhibitor"
"azd-7762",NA,NA,NA,"BRD-K46056750","Unknown","Chk inhibitor","Chk inhibitor"
"azd-8055",NA,NA,NA,"BRD-K69932463","mTOR inhibitor","mTOR inhibitor",NA
"azd-8330",NA,NA,NA,"BRD-K37687095","MEK inhibitor","MEK inhibitor",NA
"azd4547","FGFR inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR","Phase 2/Phase 3",NA,NA,"FGFR inhibitor",NA
"azd7762","CHK inhibitor","CHEK1, CHEK2","Phase 1",NA,NA,"CHK inhibitor",NA
"azd8055","mTOR inhibitor","MTOR","Phase 1",NA,NA,"mTOR inhibitor",NA
"azelastine hcl","histamine receptor antagonist","HRH1","Launched","BRD-A68888262","histamine receptor antagonist","histamine receptor antagonist",NA
"azithromycin","bacterial 50S ribosomal subunit inhibitor","MLNR","Launched","BRD-K74501079","bacterial 50S ribosomal subunit inhibitor","bacterial 50S ribosomal subunit inhibitor",NA
"azlocillin sodium salt","bacterial cell wall synthesis inhibitor","","Launched","BRD-K73437736","bacterial cell wall synthesis inhibitor","bacterial cell wall synthesis inhibitor",NA
"b02",NA,NA,NA,NA,NA,"RAD51 inhibitor","RAD51 inhibitor"
"b3063",NA,NA,NA,NA,NA,NA,NA
"b4313",NA,NA,NA,NA,NA,NA,NA
"b5313",NA,NA,NA,NA,NA,NA,NA
"b581",NA,NA,NA,NA,NA,NA,NA
"bacampicillin hydrochloride","bacterial cell wall synthesis inhibitor","","Launched",NA,NA,"bacterial cell wall synthesis inhibitor",NA
"baccatin-iii",NA,NA,NA,"BRD-A84189516","Unknown","Unknown",NA
"badge","PPAR receptor antagonist","PPARG","Preclinical",NA,NA,"PPAR receptor antagonist",NA
"baeomycesic-acid",NA,NA,NA,"BRD-K40742111","Unknown","Unknown",NA
"balsalazide","cyclooxygenase inhibitor","ALOX5, PPARG, PTGS1, PTGS2","Launched","BRD-K41410256","cyclooxygenase inhibitor","cyclooxygenase inhibitor",NA
"bambuterol hydrochloride","adrenergic receptor agonist","ADRB2, BCHE","Launched","BRD-A17462676","adrenergic receptor agonist","adrenergic receptor agonist",NA
"bapta-am",NA,NA,NA,"BRD-K40919711","Unknown","Unknown",NA
"barasertib","Aurora kinase inhibitor","AURKA, AURKB","Phase 2/Phase 3","BRD-K63923597","Aurora kinase inhibitor","Aurora kinase inhibitor",NA
"bas-00535043",NA,NA,NA,"BRD-K17119186","Unknown","Unknown",NA
"bas-02859604",NA,NA,NA,"BRD-K36267058","Unknown","Unknown",NA
"bas-09104376",NA,NA,NA,"BRD-K55991774","Unknown","Unknown",NA
"bay-11-7821",NA,NA,NA,"BRD-K15025317","NFkB pathway inhibitor","NFkB pathway inhibitor",NA
"bay-36-7620",NA,NA,NA,"BRD-K54704028","Unknown","Unknown",NA
"bay-59-3074",NA,NA,NA,"BRD-K18799075","Unknown","Unknown",NA
"bay-61-3606","SYK inhibitor","SYK","Preclinical",NA,NA,"SYK inhibitor","SYK inhibitor"
"bcl-2 inhibitor",NA,NA,NA,NA,NA,NA,NA
"bd 1008 dihydrobromide","sigma receptor antagonist","","Preclinical","BRD-K17008822","sigma receptor antagonist","sigma receptor antagonist",NA
"bd 1047 dihydrobromide","adrenergic receptor antagonist","SIGMAR1","Preclinical","BRD-K36864847","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"bd 1063 dihydrochloride","sigma receptor antagonist","SIGMAR1","Preclinical","BRD-K29668683","sigma receptor antagonist","sigma receptor antagonist",NA
"beclomethasone","glucocorticoid receptor agonist","NR3C1, SERPINA6","Launched",NA,NA,"glucocorticoid receptor agonist",NA
"beclomethasone-dipropionate","glucocorticoid receptor agonist","GPR97, NR3C1","Launched",NA,NA,"glucocorticoid receptor agonist",NA
